PULocationID,mean_fare,std_fare,trip_count
113,22.754316542487633,16.25038276306489,1043386
114,23.713622403045118,16.216132518016874,1052964
115,18.47422395613665,14.767887713867447,142260
116,21.095889140512917,13.895060094504736,843410
117,25.930883011872993,20.33225318831641,312895
118,20.890143711300958,14.989693916227798,178622
119,18.704205399887083,12.571262191411263,646495
120,19.822053515868078,12.780266065049195,17677
121,20.270519158456892,12.70506283492081,383486
122,20.074090566211307,13.96462965962121,217410
123,16.53882592197759,13.67930250247901,513109
124,19.759956455293405,14.443242097989035,238835
125,24.763720717996748,17.917418565340952,542398
126,18.38007135252095,11.652794223695457,582320
127,19.78075320060824,12.822993645268387,652376
128,20.552745538219778,13.397165465044083,44545
129,17.948613410132044,11.903930111217479,1329189
130,18.51674488283954,12.577444132977185,1190504
131,20.203738358161928,13.752613386519302,272938
132,50.43468875856843,25.142652428106008,2102339
133,19.57132442101192,13.427200199151363,351648
134,19.194609704132613,12.293860837411954,352489
135,20.095658600347416,13.130707764191648,290715
136,17.962326221259534,12.046466756406485,490293
137,21.5174969241389,14.72955618581632,1051738
138,40.381983377971565,20.7960800832361,1999034
139,19.352763898614914,14.2948523915138,329871
140,23.497262854460697,16.017593356830055,1024761
141,22.330728902020095,16.007193824140632,1137917
142,23.525391109840697,17.28868701152708,1102005
143,21.90395146766698,15.565904277109926,883988
144,23.975823602973435,15.996471463733336,1219465
145,21.809532902043397,13.51262598613399,1204758
146,21.37956626377864,13.891736755324805,451242
147,18.502020302281544,11.977028755164405,426159
148,24.992346734035376,15.910116385323033,1629243
149,16.886635875692797,13.48916752581882,400009
150,18.868464598336146,15.344493379137631,184271
151,22.66880440374711,15.154264639619834,550077
152,20.71362777639679,13.385417500284747,410334
153,16.918826481997346,11.081921207045598,192055
154,26.078633019022185,18.575750103760914,18347
155,19.912905332960925,13.852105228585332,554945
156,18.177814270264705,14.641950093324166,233016
157,18.191898802469165,11.601881017885082,461533
158,24.541296607002586,17.25675730469949,1048984
159,18.71203028737898,12.218870958505429,834473
160,18.562822413444128,11.69334823110905,365602
161,26.441779580626974,19.48929131756447,1559137
162,25.228264395273843,18.69381654482914,1227382
163,25.865134777107492,19.676839887319176,1211593
164,24.699466465263033,17.99539213393032,1550452
165,18.239607055851305,14.056434226923404,554150
166,22.087649717932393,14.923727992010413,675370
167,18.082574450983323,11.984709451236089,742737
168,19.474385626357357,12.129144126552006,1115681
169,17.45847048172164,11.710287308356708,926697
170,22.485863936578355,16.75030030768394,1570694
171,18.53581083017774,13.694103955875486,313993
172,20.38996719485021,15.594751974801559,96936
173,17.632894207047006,11.993803692159677,409791
174,18.734682489381385,12.278881239969357,782588
175,21.979658014538515,13.996114705492262,108952
176,21.9447597008359,17.16908899745075,56825
177,19.318122416926563,13.127654389021046,891380
178,16.624233486764574,13.563272223182164,189227
179,19.7166159242679,12.765602653497348,592404
180,18.234086799151765,12.674049248156933,289542
181,22.313475959749884,14.487858056257847,1567101
182,18.688254104687793,12.45732798150725,479330
183,18.776357387155343,12.697521988959723,236830
184,21.141512180709626,15.029660339066709,37231
185,18.712174780520026,12.584122074967793,594929
186,24.833931663193365,17.979219012600275,1127650
187,18.185308636701496,14.658187914693881,117047
188,20.078313508025253,13.65013380604741,1489174
189,22.492591995625325,14.44222071553224,592501
190,22.542468509904353,13.888477904968754,114798
191,20.44897641074396,14.055878848374002,492258
192,18.940888961359725,11.895760621796821,208513
193,20.18775933284965,13.703063341699192,242584
194,28.24287819624638,14.887092408285897,23817
195,24.075021101085074,13.883151680249957,344769
196,19.08386905173009,11.899034415539882,448849
197,17.714095757480678,12.043481069610364,752171
198,19.97460901902348,12.815990566987743,1068364
199,37.484042553191486,18.049661885255993,47
200,23.310773192343802,16.003854294136385,291842
201,26.743424400436382,20.673132389177432,108162
202,25.94764826750666,14.95778515624381,103175
203,19.716871535414384,14.155438503034825,322369
204,23.423078817121397,19.750383364070125,40207
205,19.10645549843315,14.072415363083387,782141
206,18.438634507363666,15.1105973736011,335227
207,15.633889143954255,10.13718955177735,47918
208,19.586902229427043,12.95045759599552,573690
209,26.101791229699167,17.17924790610912,351094
210,17.53605688258604,14.067361994026836,560734
211,24.269129971051274,16.699813043179986,1052896
212,17.460262289208522,11.392399135249493,496818
213,18.190780070724653,11.5467989675503,1000217
214,20.618306772612506,15.134974470444185,134660
215,17.84410904051014,12.860558197576719,618339
216,17.47460825227143,12.412345158707671,1003554
217,17.153443127810974,12.839170235418509,266589
218,19.108033739866723,13.453533993284175,402017
219,19.67164014694779,13.495651052392414,354956
220,19.05148057014007,13.058184958948932,607570
221,18.451004377124256,15.056050376444356,237142
222,19.40286476082555,13.583628760977852,240034
223,19.489132869116606,12.869780967879105,831939
224,21.463829866679724,14.535041694500586,326732
225,21.17310820833064,14.001695885659718,1595099
226,19.087675608955447,11.665292283020644,1054018
227,19.43361596213886,14.653741061815943,403580
228,20.99570251074017,14.427294685434983,857994
229,21.950125858310447,16.222301811582266,1040853
230,27.669128261740227,20.33482623160099,1568028
231,25.158004500996064,17.36590525609334,1857811
232,23.155743579349483,14.092248931533346,873276
233,21.812199051713407,16.07593339878507,972069
234,22.897472735721813,16.66381714202369,1764580
235,18.168873717129895,11.865897087190985,840011
